problem size,num_proc,runtime
1000000,2,0.165874
1000000,2,0.172703
1000000,2,0.163938
1000000,2,0.163487
1000000,2,0.167345
1000000,4,0.104497
1000000,4,0.102187
1000000,4,0.107406
1000000,4,0.113322
1000000,4,0.111639
1000000,4,0.103526
1000000,4,0.106186
1000000,4,0.105962
1000000,4,0.108153
1000000,4,0.101940
1000000,8,0.095188
1000000,8,0.093966
1000000,8,0.094487
1000000,8,0.091980
1000000,8,0.091683
1000000,8,0.091779
1000000,8,0.085547
1000000,8,0.091359
1000000,8,0.084655
1000000,8,0.084591
1000000,10,0.082611
1000000,10,0.083463
1000000,10,0.084903
1000000,10,0.092215
1000000,10,0.099412
1000000,10,0.089592
1000000,10,0.099528
1000000,10,0.083013
1000000,10,0.103723
1000000,10,0.095858
1000000,12,0.085130
1000000,12,0.085925
1000000,12,0.080461
1000000,12,0.082726
1000000,12,0.084718
1000000,12,0.087570
1000000,12,0.097553
1000000,12,0.082695
1000000,12,0.086792
1000000,12,0.085635
1000000,14,0.088675
1000000,14,0.086639
1000000,14,0.089985
1000000,14,0.083734
1000000,14,0.083206
1000000,14,0.094176
1000000,14,0.083011
1000000,14,0.087914
1000000,14,0.081472
1000000,14,0.089340
1000000,15,0.095749
1000000,15,0.094460
1000000,15,0.087137
1000000,15,0.086062
1000000,15,0.089587
1000000,15,0.096574
1000000,15,0.093255
1000000,15,0.086169
1000000,15,0.085163
1000000,15,0.092751
1000000,16,0.083463
1000000,16,0.104732
1000000,16,0.091330
1000000,16,0.091084
1000000,16,0.086609
1000000,16,0.086293
1000000,16,0.086908
1000000,16,0.088843
1000000,16,0.081322
1000000,16,0.091287
20000000,1,7.352482
20000000,1,7.389503
20000000,1,7.358893
20000000,1,7.323368
20000000,1,7.365664
20000000,1,7.506004
20000000,1,7.449589
20000000,1,7.433711
20000000,1,7.360916
20000000,1,7.422024
20000000,2,3.800936
20000000,2,3.790135
20000000,2,3.849024
20000000,2,3.802100
20000000,2,3.810805
20000000,2,3.864672
20000000,2,3.802615
20000000,2,3.800208
20000000,2,3.771754
20000000,2,3.779716
20000000,4,2.207221
20000000,4,2.089221
20000000,4,2.096750
20000000,4,2.065420
20000000,4,2.111077
20000000,4,2.013010
20000000,4,2.060873
20000000,4,2.037073
20000000,4,2.100967
20000000,4,2.066336
20000000,8,1.440879
20000000,8,1.402556
20000000,8,1.357517
20000000,8,1.434583
20000000,8,1.344417
20000000,8,1.323782
20000000,8,1.354706
20000000,8,1.367040
20000000,8,1.472072
20000000,8,1.328065
20000000,10,1.240624
20000000,10,1.254553
20000000,10,1.287222
20000000,10,1.312107
20000000,10,1.216859
20000000,10,1.231825
20000000,10,1.438546
20000000,10,1.233416
20000000,10,1.364873
20000000,10,1.244121
20000000,12,1.128053
20000000,12,1.234833
20000000,12,1.307612
20000000,12,1.183907
20000000,12,1.223969
20000000,12,1.142187
20000000,12,1.244333
20000000,12,1.133943
20000000,12,1.120129
20000000,12,1.138310
20000000,14,1.231172
20000000,14,1.049430
20000000,14,1.282837
20000000,14,1.034328
20000000,14,1.162116
20000000,14,1.081655
20000000,14,1.217083
20000000,14,1.208325
20000000,14,1.089533
20000000,14,1.180628
20000000,15,1.435198
20000000,15,1.046215
20000000,15,1.074074
20000000,15,1.238306
20000000,15,1.049521
20000000,15,1.151766
20000000,15,1.088170
20000000,15,1.089661
20000000,15,1.157693
20000000,15,0.936535
20000000,16,1.036106
20000000,16,1.028812
20000000,16,1.111629
20000000,16,1.079208
20000000,16,1.055127
20000000,16,1.049065
20000000,16,1.050493
20000000,16,1.501720
20000000,16,1.196066
20000000,16,1.020992
40000000,1,15.235488
40000000,1,15.242478
40000000,1,15.454339
40000000,1,15.350288
40000000,1,15.243717
40000000,1,15.293412
40000000,1,15.390730
40000000,1,15.323764
40000000,1,15.319666
40000000,1,15.412513
40000000,2,8.000193
40000000,2,8.000155
40000000,2,7.993983
40000000,2,7.892114
40000000,2,7.859471
40000000,2,7.999286
40000000,2,7.853482
40000000,2,7.983877
40000000,2,7.821740
40000000,2,8.033338
40000000,4,4.580188
40000000,4,4.340313
40000000,4,4.262484
40000000,4,4.242816
40000000,4,4.181531
40000000,4,4.306777
40000000,4,4.211669
40000000,4,4.351775
40000000,4,4.204050
40000000,4,4.332903
40000000,8,2.734707
40000000,8,3.233394
40000000,8,2.777093
40000000,8,2.724019
40000000,8,2.767870
40000000,8,2.961342
40000000,8,2.892020
40000000,8,2.605231
40000000,8,2.664898
40000000,8,2.619505
40000000,10,2.593460
40000000,10,2.473605
40000000,10,2.441529
40000000,10,2.504784
40000000,10,2.421706
40000000,10,2.785659
40000000,10,2.503787
40000000,10,2.429789
40000000,10,2.430278
40000000,10,2.408230
40000000,12,2.292334
40000000,12,2.057242
40000000,12,2.465511
40000000,12,2.249368
40000000,12,2.421538
40000000,12,2.539847
40000000,12,2.257425
40000000,12,2.190679
40000000,12,2.313267
40000000,12,2.222827
40000000,14,2.457662
40000000,14,2.615644
40000000,14,2.545428
40000000,14,2.377939
40000000,14,2.428288
40000000,14,2.089054
40000000,14,2.200207
40000000,14,2.204675
40000000,14,2.174504
40000000,14,2.132264
40000000,15,2.134359
40000000,15,2.087173
40000000,15,2.143456
40000000,15,2.090080
40000000,15,2.439880
40000000,15,2.702227
40000000,15,2.289551
40000000,15,2.082389
40000000,15,2.182500
40000000,15,2.219417
40000000,16,2.045966
40000000,16,2.022541
40000000,16,2.022721
40000000,16,2.230054
40000000,16,2.076905
40000000,16,2.524555
40000000,16,2.532855
40000000,16,2.486003
40000000,16,2.040319
40000000,16,2.380959
